School Name,City,AP Classes?,Dual Enrollment?,Offers Electives?,Math Score,English Score,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,student_faculty_ratio,school_type
Hamilton High School,Chandler,yes,No,Yes,27,27,64,1,45.3,6.9,2.2,23.3,18.5,1,27.1,Public
Mosaica Preparatory Academy of Chandler,Chandler,Yes,Yes,Yes,,,Unranked,Unranked,Unknown,Unkown,Unkown,Unkown,Unkown,Unkown,13,Private
Sonoran Desert School,Mesa,Yes,No,,45%,36%,,441,80%,5%,0,15%,5%,0,,
Stapley Junior High School,Mesa,No,No,Yes,58%,52%,unranked,111,65%,1.20%,9.10%,20.90%,0.90%,2.60%,19.1,Public
Sunny Valley High School,Mesa,Yes,Yes,Yes,30%,30%,"10,272",390,18.4,6.9,3.2,66.8,0.8,4,33.8,Public
Taylor Junior High School,Mesa,Yes,Yes,No,41,34,unranked,unknown,35,5,3,53,1,2,24.3,Public
Vista Grove Preparatory Academy Middle School,Mesa,No,No,No,5%,15%,unranked,unranked,23%,10,7,49,0,11,30,Public
Apollo High School,Glendale,yes,yes,yes,26%,30%,5256,167,54%,9%,6,26,,20,,
Arrowhead Christian Academy,Glendale,yes,yes,yes,19,43,4210,128,32%,10%,,15,,26,,
Cactus High School,Glendale,yes,yes,yes,72,52,7212,64,12%,12%,4,8,,17,,
Children'S Center for Neurodevelopmental Studies,Glendale,yes,yes,no,43,15,5210,742,60%,15%,1,16,,16,,
Copper Canyon High School,Glendale,yes,no,yes,54,26,8840,159,54,7,12,5,2,6,23.9,Private
Paradise Honors High School,Surprise,Yes,Yes,Yes,22%,26%,"10,575",196,72%,5%,0%,18%,3%,2%,28,Public
Shadow Ridge High School,Surprise,Yes,Yes,Yes,34%,50,1579,53,59%,9%,1%,25%,4%,3%,22.2,Public
Valley Vista HighSchool,Surprise,Yes,Yes,Yes,25%,60,608,27,45%,10%,1%,38%,1%,1%,24.8,Public
West Mec - Valley Vista High School,Surprise,Yes,No,,18%,45,"25,708",602,0%,33%,0%,67%,0%,0%,,
West Mec - Willow Canyon high School,Surprise,No,No,,59%,55%,Unranked,Unranked,,,2%,,,,,
Starshine Academy,Phoenix,Yes,Yes,,62,56,"16,664th out of 26,089",293rd out of 659,6%,26%,,57%,2%,,,
Sunnyslope High School,Phoenix,Yes,Yes,Yes,47.7,48.1,"1,512th out of 26,089",177,30%,15%,3%,45%,5%,2%,20.6,Public
Suns-diamondbacks Education Academy,Phoenix,Yes,Yes,,45,70,"17,047th out of 26,089",303rd out of 659,4%,7%,,79%,0%,,,
Sweetwater Community School,Phoenix,Yes,Yes,Yes,512,523,"6,987 out of 17,843",100 out of 455,65.20%,7.40%,1.80%,19.30%,4.30%,2%,6.6,Private
System Phoenix,Phoenix,Yes,Yes,Yes,525,523,15,1,10%,7%,,78%,1%,,,
Aspc-Phoenix/Globe,phoenix,Yes,Yes,,21%,19%,"25,948",630,100%,0%,0%,0%,0%,0%,,
Asu Preparatory Academy- Phoenix Elementary,phoenix,Yes,Yes,Yes,17%,60,Unranked,Unknown,11%,8%,2%,74%,2%,3%,22.9,Private
Asu Preparatory Academy- Phoenix High School,phoenix,Yes,Yes,,22%,22%,"12,188",221,8%,10%,2%,77%,3%,2%,,
Barry Goldwater High School,phoenix,Yes,Yes,Yes,23%,23%,"1,964",66,50%,6%,1%,37%,3%,2%,29.8,Public
Basis Ahwatukee,phoenix,Yes,Yes,Yes,31%,32%,"7,959",160,36%,4%,0%,6%,52%,2%,24.3,Public
West-mec - Pinnacle High School,Phoenix,Yes,Yes,Yes,49%,54%,1998,523,43%,7%,,44%,3%,2%,,
West-mec - Shadow Mountain High School,Phoenix,Yes,Yes,Yes,54%,40%,6178,Unranked,43%,7%,,44%,3%,2%,,
West-mec - Sunnyslope High School,Phoenix,Yes,Yes,Yes,79%,69%,2170,84,43%,7%,,44%,3%,2%,,
West-mec - Thunderbird High School,Phoenix,Yes,Yes,Yes,70%,55%,2799,Unranked,43%,7%,,44%,3%,2%,,
West-mec - Tonopah Valley High School,Phoenix,Yes,Yes,Yes,69%,59%,Unranked,Unranked,43%,7%,,44%,3%,2%,,
Faith Christian School,Mesa,Yes,Yes,,600,550,"3,896th out of 7,602",35th out of 74,7720%,,,1410%,760%,,19,Public
Franklin Junior High School,Mesa,,No,,89%,93%,Unranked,Unranked,67%,1%,0.40%,26%,2%,5%,2.6,Private
Fremont Junior High School,Mesa,no,,yes,39%,37%,Unranked,135,52%,4%,2%,37%,1%,4%,,
Heritage Academy,Mesa,yes,yes,yes,46%,61%,"3,302",52,70.80%,0.50%,0.30%,25.50%,0.60%,2.30%,14.1,Private
